manuscriptID,tribe,es,tribe_name,status,fullRef,artTitle
LEWIS2015,4,10,Aligning Preparation for Teaching with Technology with Standards,articles,"Lewis, 2015",Preservice Teachersê Ability to Identify Technology Standards: Does Curriculum Matter?
LYUBLINS2014,4,10,Aligning Preparation for Teaching with Technology with Standards,articles,"Lyubinskaya & Tournaki, 2014",A Study of Special Education Teachers' TPACK Development in Mathematics and Science through Assessment of Lesson Plans
HOLLANDP2016,4,6,Aligning Preparation for Teaching with Technology with Standards,articles,"Holland & Piper, 2016","Testing a Technology Integration Education Model for Millennial Preservice Teachers: Exploring the Moderating Relationships of Goals, Feedback, Task Value and Self-Regulation among Motivation and Technological, Pedagogical, and Content Knowledge Competencies"
WETZELBU2014,5,24,Improving Teaching with Technology Effectiveness,articles,"Wetzel, Buss, Foulger, & Lindsey, 2014",Infusing Educational Technology in Teaching Methods Courses: Successes and Dilemmas
BUSSWETZ2015,5,13,Improving Teaching with Technology Effectiveness,articles,"Buss, Wetzel, Foulger, & Lindsey, 2015",Preparing Teachers to Integrate Technology into K-12 Instruction: Comparing a Stand-Alone Technology Course with a Technology-Infused Approach
CYDIS2015,5,10,Improving Teaching with Technology Effectiveness,articles,"Cydis, 2015",Authentic Instruction and Technology Literacy
HABOWSKI2014,5,10,Improving Teaching with Technology Effectiveness,articles,"Habowski & Mouza, 2014",Pre-Service Teachersê Development of Technological Pedagogical Content Knowledge (TPACK) in the Context of a Secondary Science Teacher Education Program
GREENCHA2013,5,9,Improving Teaching with Technology Effectiveness,articles,"Green, Chassereau, Kennedy, & Schriver, 2013",Where Technology and Science Collide: A Co-Teaching Experience between Middle Grades Science Methods and Instructional Technology Faculty
FOULGERB2015,5,6,Improving Teaching with Technology Effectiveness,articles,"Foulger, Buss, Wetzel, & Lindsey, 2015",Instructors' Growth in TPACK: Teaching Technology-Infused Methods Courses to Preservice Teachers
SHENHANN2013,5,6,Improving Teaching with Technology Effectiveness,articles,"Shen & Hannafin, 2013",Scaffolding Preservice Teachers' Higher-Order Reasoning during Technology Integration: A Design Research Inquiry
WYANTJON2015,5,1,Improving Teaching with Technology Effectiveness,articles,"Wyant, Jones, & Bulger, 2015",A Mixed Methods Analysis of a Single-Course Strategy to Integrate Technology into PETE
COLLIERF2013,6,9,Leveraging Technology for Academic Learning,articles,"Collier, Foley, Moguel, & Barnard, 2013",Write for Your Life: Developing Digital Literacies and Writing Pedagogy in Teacher Education
KINGLANC2013,6,2,Leveraging Technology for Academic Learning,articles,"King, et al, 2013",Curricular and Pedagogical Imperatives for Fostering Effective STEM Teacher Preparation
PITTSBAN2013,6,2,Leveraging Technology for Academic Learning,articles,"Pitts Bannister & Mariano, 2013",Snapshots of Student Thinking: An Exploration of Video Cases for Extending Prospective Teachersê Knowledge
ORTEGA2013,7,23,Educational Innovation and Change in Preservice Teacher Education with Technology,articles,"Ortega, 2013",Digital Practices and Literacy Identities: Preservice Teachers Negotiating Contradictory Discourses of Innovation
FOULGERW2013,7,11,Educational Innovation and Change in Preservice Teacher Education with Technology,articles,"Foulger et al., 2013",Innovators in Teacher Education: Diffusing Mobile Technologies in Teacher Preparation Curriculum
BURKEFOU2014,7,8,Educational Innovation and Change in Preservice Teacher Education with Technology,articles,"Burke & Foulger, 2014",Mobile Learning in Teacher Education: Insight from Four Programs That Embraced Change
